Receta;Droga_Vegetal;Metodo_Extraccion;Regimen_Termico;Albarelo_Receptor;Cierre_Scribal;Protocolo_Completo
f87r.P1;raiz_hervida / droga_vegetal;maceracion_lenta;aplicacion_calor / templar;albarelo_sellado_seco;[tammat];raiz_hervida / droga_vegetal -> maceracion_lenta -> en_frio -> aplicacion_calor / templar -> albarelo_sellado_seco -> [tammat]
f87r.P2;no_especificada;esencia_concentrada;canalizar_vapor;albarelo_abierto_comun;[tammat];esencia_concentrada -> canalizar_vapor -> matraz_basal_decantacion -> conducto_ascendente / reposo -> [luego] -> albarelo_abierto_comun -> [tammat]
f87v.P1;hojas_secas / brotes;purgar_humores / canalizar;decoccion_termica;albarelo_abierto_comun;[tammat];hojas_secas / brotes -> purgar_humores / canalizar -> decoccion_termica -> por_peso_medido -> albarelo_abierto_comun -> [tammat]
f87v.P2;raiz_hervida / droga_vegetal;circulacion_espiral;sometido_a_calor;cuerpo_colector;[tammat];raiz_hervida / droga_vegetal -> sometido_a_calor -> circulacion_espiral -> cuerpo_colector -> asentar_sedimento / secado -> [tammat]
f88r.P1;raiz_hervida / droga_vegetal;destilacion_activa_serpentin;temperatura_ambiente;caliz_purificacion_posos;[tammat];raiz_hervida / droga_vegetal -> licuacion / extracto_fluido -> destilacion_activa_serpentin -> conducto_ascendente / reposo -> caliz_purificacion_posos -> [tammat]
f88r.P2;hojas_secas / brotes;maceracion_lenta;calor_suave;albarelo_sellado_seco;[tammat];hojas_secas / brotes -> maceracion_lenta -> calor_suave -> albarelo_sellado_seco -> estabilizado -> [tammat]
f88v.P1;no_especificada;esencia_concentrada;ebullicion_sostenida;albarelo_sellado_seco;[tammat];vapor_tibio -> esencia_concentrada -> matraz_basal_decantacion -> ebullicion_sostenida -> albarelo_sellado_seco -> [tammat]
f88v.P2;no_especificada;purgar_humores / canalizar;aplicacion_calor / templar;matraz_de_decantacion;[tammat];purgar_humores / canalizar -> filtrado / fuego_directo -> matraz_de_decantacion -> aplicacion_calor / templar -> [luego] -> [tammat]
f89r.P1;no_especificada;esencia_concentrada;aplicacion_calor / templar;caliz_purificacion_posos;[tammat];albarelo_general -> aplicacion_calor / templar -> esencia_concentrada -> caliz_purificacion_posos -> asentar_sedimento / secado -> [tammat]
f89r.P2;raiz_hervida / droga_vegetal;alambique_rector;decoccion_termica;caliz_purificacion_posos;[tammat];raiz_hervida / droga_vegetal -> en_frio -> alambique_rector -> decoccion_termica -> caliz_purificacion_posos -> [tammat]
f89v.P1;materia_salina_fija;esencia_concentrada;aplicacion_calor / templar;albarelo_sellado_seco;[tammat];esencia_concentrada -> matraz_basal_decantacion -> aplicacion_calor / templar -> materia_salina_fija -> albarelo_sellado_seco -> [tammat]
f90r.P1;materia_salina_fija;maceracion_lenta;filtrado / fuego_directo;tina_templada_bano;[tammat];maceracion_lenta -> filtrado / fuego_directo -> materia_salina_fija -> tina_templada_bano -> estabilizado -> [tammat]
f93r.P1;hojas_secas / brotes;licuacion / extracto_fluido;canalizar_vapor;matraz_basal_decantacion;[tammat];hojas_secas / brotes -> licuacion / extracto_fluido -> canalizar_vapor -> matraz_basal_decantacion -> conducto_ascendente / reposo -> [tammat]
f94v.P1;raiz_hervida / droga_vegetal;circulacion_espiral;filtrado / fuego_directo;matraz_de_decantacion;[tammat];raiz_hervida / droga_vegetal -> circulacion_espiral -> filtrado / fuego_directo -> matraz_de_decantacion -> asentar_sedimento / secado -> [tammat]
f99r.P1;no_especificada;purgar_humores / canalizar;calor_suave;albarelo_sellado_seco;[tammat];vapor_tibio -> purgar_humores / canalizar -> calor_suave -> cuerpo_colector -> albarelo_sellado_seco -> [tammat]
f99v.P1;no_especificada;esencia_concentrada;decoccion_termica;matraz_basal_decantacion;[tammat];alambique_rector -> decoccion_termica -> purgar_humores / canalizar -> matraz_basal_decantacion -> esencia_concentrada -> [tammat]
f100r.P1;raiz_hervida / droga_vegetal;fijacion_frio;corte_humoral;albarelo_abierto_comun;[tammat];raiz_hervida / droga_vegetal -> fijacion_frio -> corte_humoral -> albarelo_abierto_comun -> asentar_sedimento / secado -> [tammat]
f101v.P1;hojas_secas / brotes;esencia_concentrada;aplicacion_calor / templar;albarelo_sellado_seco;[tammat];hojas_secas / brotes -> aplicacion_calor / templar -> esencia_concentrada -> albarelo_sellado_seco -> estabilizado -> [tammat]
f102r.P1;materia_salina_fija;esencia_concentrada;canalizar_vapor;tina_templada_bano;[tammat];esencia_concentrada -> canalizar_vapor -> materia_salina_fija -> tina_templada_bano -> asentar_sedimento / secado -> [tammat]
f102v.P1;materia_salina_fija;destilacion_activa_serpentin;temperatura_ambiente;caliz_purificacion_posos;[tammat];raiz_hervida / droga_vegetal -> destilacion_activa_serpentin -> conducto_ascendente / reposo -> caliz_purificacion_posos -> materia_salina_fija -> [tammat]
